price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
6795,2013,volkswagen passat,excellent,5.0,gas,119453.0,automatic,sedan,red,0,2018-12-12,19,6
6795,2012,volkswagen jetta,excellent,5.0,gas,104310.0,automatic,sedan,white,0,2019-03-11,16,8
7995,2014,chevrolet cruze,excellent,4.0,gas,120052.0,automatic,sedan,blue,0,2018-10-27,27,5
25800,2015,toyota tacoma,like new,6.0,gas,49900.0,automatic,pickup,white,1,2018-07-24,39,4
8595,2010,toyota prius,excellent,4.0,gas,99630.0,automatic,hatchback,white,0,2019-02-05,44,10
8995,2010,toyota prius,excellent,4.0,gas,74138.0,automatic,hatchback,white,0,2018-07-09,38,9
7995,2010,honda accord,excellent,,gas,90880.0,automatic,sedan,grey,0,2018-09-16,3,9
7100,2004,ford f-150,good,8.0,gas,121000.0,automatic,truck,,1,2019-03-10,23,16
6995,2010,jeep liberty,excellent,,gas,105771.0,automatic,SUV,brown,1,2019-02-05,19,10
4795,2007,nissan altima,excellent,4.0,gas,131020.0,automatic,sedan,grey,0,2018-10-19,31,12
6500,2009,ford f-250,good,8.0,gas,113000.0,automatic,pickup,white,1,2018-09-09,19,10
1500,2001,jeep grand cherokee,good,6.0,gas,185000.0,automatic,SUV,black,1,2018-10-15,56,18
9799,2017,nissan altima,excellent,4.0,gas,51153.0,automatic,sedan,silver,1,2018-06-23,35,2
11799,2014,chevrolet camaro,excellent,6.0,gas,50468.0,automatic,coupe,yellow,0,2018-12-30,39,5
5700,2002,chevrolet silverado 1500,good,8.0,gas,105000.0,automatic,pickup,silver,1,2018-06-17,68,17
3700,2009,nissan rogue,good,4.0,gas,174902.0,automatic,SUV,black,0,2019-03-14,31,11
24399,2013,ram 1500,excellent,,gas,97321.0,automatic,pickup,red,1,2019-01-08,43,7
11799,2015,chevrolet camaro,excellent,6.0,gas,26881.0,automatic,coupe,red,0,2019-02-03,21,5
9299,2016,nissan altima,excellent,4.0,gas,47833.0,automatic,sedan,silver,0,2019-01-19,75,4
3750,2007,jeep grand cherokee laredo,fair,6.0,gas,131800.0,automatic,SUV,grey,1,2018-06-29,50,12
3800,2012,nissan altima,good,4.0,gas,186576.0,automatic,sedan,black,0,2019-01-02,37,8
7995,2011,subaru forester,good,4.0,gas,112000.0,automatic,SUV,blue,1,2019-02-12,53,9
23200,2018,chevrolet camaro lt coupe 2d,good,6.0,gas,7136.0,other,coupe,black,0,2018-08-18,25,1
9100,2014,kia sorento,good,4.0,gas,100100.0,automatic,SUV,silver,1,2018-08-30,74,5
8977,2013,kia sorento,excellent,,gas,85415.0,automatic,SUV,silver,0,2018-07-25,72,6
18675,2015,ram 1500,good,8.0,gas,86115.0,automatic,truck,,1,2018-11-11,7,4
13889,2005,gmc sierra 2500hd,good,8.0,gas,95914.0,automatic,truck,custom,1,2018-07-13,37,14
5000,2011,toyota camry le,excellent,4.0,gas,173000.0,automatic,sedan,white,0,2018-06-26,19,8
28200,2012,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1,2018-09-26,28,7
15900,2016,ford escape,excellent,4.0,gas,19764.0,automatic,SUV,,1,2018-12-09,48,3
22914,2015,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1,2018-07-07,9,4
22900,2015,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,,1,2018-08-24,11,4
19900,2013,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1,2019-03-01,4,7
24869,2015,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1,2018-06-29,22,4
22399,2011,gmc sierra 2500hd,excellent,8.0,gas,121047.0,automatic,pickup,,1,2018-05-17,66,8
9950,2013,toyota prius,excellent,,hybrid,101200.0,automatic,hatchback,silver,0,2018-08-24,11,6
17379,2007,jeep wrangler,excellent,6.0,gas,111921.0,automatic,SUV,,1,2018-12-26,50,12
5999,2012,nissan altima,excellent,4.0,gas,99000.0,automatic,sedan,black,0,2018-12-27,28,7
10900,2012,toyota tacoma,excellent,4.0,gas,132000.0,manual,pickup,red,1,2018-10-10,46,7
6995,2004,toyota tundra,good,,gas,224000.0,automatic,truck,,1,2018-09-04,33,15
3500,2004,toyota camry,fair,4.0,gas,155000.0,automatic,sedan,white,0,2018-11-16,33,15
31999,2011,ram 3500,good,6.0,diesel,148128.0,automatic,truck,,1,2018-11-21,64,8
28999,2012,ram 2500,good,6.0,diesel,146875.0,automatic,truck,silver,1,2018-07-22,51,7
32999,2012,ram 3500,good,6.0,diesel,126201.0,automatic,truck,silver,1,2018-10-26,58,7
7800,2010,nissan frontier,excellent,6.0,gas,160266.0,automatic,truck,red,1,2018-08-06,55,9
14999,2016,honda cr-v,excellent,4.0,gas,32000.0,automatic,SUV,grey,1,2018-08-10,66,3
19999,2015,gmc sierra,excellent,8.0,gas,43000.0,automatic,truck,white,1,2019-04-01,63,5
4999,2008,chrysler town & country,excellent,6.0,gas,129448.0,automatic,mini-van,white,0,2018-06-15,13,11
3500,2016,honda accord,excellent,,gas,30300.0,automatic,sedan,black,0,2018-09-21,67,3
15600,2016,subaru outback,excellent,4.0,gas,106700.0,automatic,wagon,black,1,2018-05-08,40,3
2500,2016,honda civic,excellent,4.0,gas,35000.0,automatic,sedan,white,0,2018-10-12,8,3
18488,2014,ford f-150,good,,gas,104906.0,automatic,truck,blue,0,2019-02-12,17,6
15674,2017,chevrolet equinox,good,,gas,51276.0,automatic,SUV,silver,0,2019-04-06,39,3
14999,2013,ford f-150,good,6.0,gas,52520.0,automatic,truck,white,1,2018-05-02,23,6
7999,2013,ford focus,good,4.0,gas,127230.0,automatic,sedan,red,0,2018-09-28,9,6
9877,2010,toyota corolla,good,4.0,gas,153510.0,automatic,sedan,white,0,2018-07-06,17,9
16999,2003,chevrolet silverado 2500hd,good,,gas,238986.0,automatic,truck,white,1,2019-02-08,10,17
8850,2017,nissan versa,good,4.0,gas,31501.0,automatic,sedan,white,0,2018-12-28,42,2
24900,2016,chevrolet silverado 1500,excellent,8.0,gas,32000.0,automatic,truck,silver,1,2019-01-29,5,4
3900,2016,ford explorer,excellent,6.0,gas,52000.0,automatic,SUV,blue,0,2018-08-18,10,3
2700,2016,honda civic,excellent,4.0,gas,27000.0,automatic,sedan,white,0,2018-06-20,73,3
13500,2012,gmc sierra 1500,excellent,8.0,gas,143000.0,automatic,truck,silver,0,2019-02-18,81,8
12750,2011,gmc sierra 2500hd,good,8.0,gas,226000.0,automatic,truck,white,1,2018-10-28,29,8
